"","Symbol","Bid.Price","Ask.Price","High","Low","TimeStamp"
"14879","EUR/USD",1.12212,1.12215,1.12329,1.12057,2020-06-26 03:49:03
"14880","EUR/USD",1.12216,1.1222,1.12329,1.12057,2020-06-26 03:50:01
"14881","EUR/USD",1.12217,1.12221,1.12329,1.12057,2020-06-26 03:51:04
"14882","EUR/USD",1.1221,1.12214,1.12329,1.12057,2020-06-26 03:52:01
"14883","EUR/USD",1.12209,1.12214,1.12329,1.12057,2020-06-26 03:53:07
"14884","EUR/USD",1.12212,1.12217,1.12329,1.12057,2020-06-26 03:54:07
"14885","EUR/USD",1.12216,1.12221,1.12329,1.12057,2020-06-26 03:55:08
"14886","EUR/USD",1.1222,1.12224,1.12329,1.12057,2020-06-26 03:56:09
"14887","EUR/USD",1.1222,1.12224,1.12329,1.12057,2020-06-26 03:57:09
"14888","EUR/USD",1.12223,1.12228,1.12329,1.12057,2020-06-26 03:58:11
"14889","EUR/USD",1.12221,1.12227,1.12329,1.12057,2020-06-26 03:59:12
"14890","EUR/USD",1.12221,1.12227,1.12329,1.12057,2020-06-26 04:00:12
"14891","EUR/USD",1.12213,1.1222,1.12329,1.12057,2020-06-26 04:01:14
"14892","EUR/USD",1.12213,1.12218,1.12329,1.12057,2020-06-26 04:02:14
"14893","EUR/USD",1.12213,1.1222,1.12329,1.12057,2020-06-26 04:03:16
"14894","EUR/USD",1.12224,1.1223,1.12329,1.12057,2020-06-26 04:04:16
"14895","EUR/USD",1.12226,1.12231,1.12329,1.12057,2020-06-26 04:05:17
"14896","EUR/USD",1.12221,1.12227,1.12329,1.12057,2020-06-26 04:06:18
"14897","EUR/USD",1.12221,1.12228,1.12329,1.12057,2020-06-26 04:07:20
"14898","EUR/USD",1.12238,1.12244,1.12329,1.12057,2020-06-26 04:08:18
"14899","EUR/USD",1.1224,1.12244,1.12329,1.12057,2020-06-26 04:09:23
"14900","EUR/USD",1.12233,1.12237,1.12329,1.12057,2020-06-26 04:10:25
"14901","EUR/USD",1.12236,1.12241,1.12329,1.12057,2020-06-26 04:11:28
